type;subtype;environment;infrastructure;test;p_cycle;p_round;p_exec;score
fuzz;1hx3;docker;sdo;MI2;0,333333333;29,66666667;0;298,3333333
fuzz;1hx3;singularity;hpc;MI2;0;10;0;100
fuzz;1hx3;singularity;sdo;MI2;0,666666667;27,66666667;0;280
fuzz;1hx3;docker;sdo;TB3;0;1;176;186
fuzz;1hx3;singularity;hpc;TB3;0;1;45,33333333;55,33333333
fuzz;1hx3;singularity;sdo;TB3;0;1;169,3333333;179,3333333
fuzz;2hx10+10;singularity;hpc;MI2;0;7,1;0;71
fuzz;2hx10+10;singularity;hpc;TB3;0;1;25,3;35,3
fuzz;2hx20+20;singularity;hpc;MI2;0;4,9;0;49
fuzz;2hx20+20;singularity;hpc;TB3;0;1;14,7;24,7
fuzz;2hx3;docker;sdo;MI2;1,666666667;38,66666667;0;395
fuzz;2hx3;singularity;hpc;MI2;0;1,666666667;0;16,66666667
fuzz;2hx3;singularity;sdo;MI2;1,333333333;24,66666667;0;253,3333333
fuzz;2hx3;docker;sdo;TB3;0;1;357,6666667;367,6666667
fuzz;2hx3;singularity;hpc;TB3;0;1;86,33333333;96,33333333
fuzz;2hx3;singularity;sdo;TB3;0;1;350,6666667;360,6666667
fuzz;2hx5+5;singularity;hpc;MI2;0;6,8;0;68
fuzz;2hx5+5;singularity;hpc;TB3;0;1;26,6;36,6
fuzz;4hx3;docker;sdo;MI2;1,666666667;59,33333333;0;601,6666667
fuzz;4hx3;singularity;hpc;MI2;0;0,666666667;0;6,666666667
fuzz;4hx3;singularity;sdo;MI2;0,333333333;36,33333333;0;365
fuzz;4hx3;docker;sdo;TB3;0;1;713;723
fuzz;4hx3;singularity;hpc;TB3;0;1;156,3333333;166,3333333
fuzz;4hx3;singularity;sdo;TB3;0;1;688;698
fuzz;all-1h-2h-4h;singularity;hpc;MI2;0;6,444444444;0;64,44444444
fuzz;all-1h-2h-4h;singularity;hpc;TB3;0;1;44,77777778;54,77777778
