environment-infrastructure-test,1hx3_cycle,1hx3_round,1hx3_exec,1hx3_score,2hx3_cycle,2hx3_round,2hx3_exec,2hx3_score,4hx3_cycle,4hx3_round,4hx3_exec,4hx3_score
docker-sdo-MI2,0,26,0,260,1,3,0,35,0,74,0,740
docker-sdo-MI2,0,35,0,350,2,55,0,560,0,96,0,960
docker-sdo-MI2,1,28,0,285,2,58,0,590,5,8,0,105
docker-sdo-TB3,0,1,176,186,0,1,357,367,0,1,712,722
docker-sdo-TB3,0,1,176,186,0,1,358,368,0,1,713,723
docker-sdo-TB3,0,1,176,186,0,1,358,368,0,1,714,724
docker-sdo-MI2,0,1,171,181,0,1,354,364,0,1,703,713
docker-sdo-MI2,0,1,171,181,0,1,354,364,0,1,703,713
docker-sdo-MI2,0,1,171,181,0,1,354,364,0,1,703,713
docker-sdo-TB3,0,1,171,181,0,1,354,364,0,1,703,713
docker-sdo-TB3,0,1,171,181,0,1,354,364,0,1,703,713
docker-sdo-TB3,0,1,171,181,0,1,354,364,0,1,703,713
docker-sdo-MI2,0,1,171,181,0,1,354,364,0,1,703,713
docker-sdo-MI2,0,1,171,181,0,1,354,364,0,1,703,713
docker-sdo-MI2,0,1,171,181,0,1,354,364,0,1,703,713
docker-sdo-TB3,0,1,171,181,0,1,354,364,0,1,703,713
docker-sdo-TB3,0,1,171,181,0,1,354,364,0,1,703,713
docker-sdo-TB3,0,1,171,181,0,1,354,364,0,1,703,713
