environment-infrastructure-test,subtype,duration,cycle,round,exec,score
docker-sdo-MI2,1hx3,1h,1,28,0,285
docker-sdo-MI2,1hx3,1h,0,26,0,260
docker-sdo-MI2,1hx3,1h,0,35,0,350
docker-sdo-MI2,2hx3,2h,1,3,0,35
docker-sdo-MI2,2hx3,2h,2,58,0,590
docker-sdo-MI2,2hx3,2h,2,55,0,560
docker-sdo-MI2,4hx3,4h,0,96,0,960
docker-sdo-MI2,4hx3,4h,5,8,0,105
docker-sdo-MI2,4hx3,4h,0,74,0,740
docker-sdo-TB3,1hx3,1h,0,1,176,186
docker-sdo-TB3,1hx3,1h,0,1,176,186
docker-sdo-TB3,1hx3,1h,0,1,176,186
docker-sdo-TB3,2hx3,2h,0,1,358,368
docker-sdo-TB3,2hx3,2h,0,1,358,368
docker-sdo-TB3,2hx3,2h,0,1,357,367
docker-sdo-TB3,4hx3,4h,0,1,714,724
docker-sdo-TB3,4hx3,4h,0,1,713,723
docker-sdo-TB3,4hx3,4h,0,1,712,722
