environment-infrastructure-test,subtype,duration,cycle,round,exec,score
singularity-hpc-MI2,1hx3,1h,0,18,0,180
singularity-hpc-MI2,1hx3,1h,0,9,0,90
singularity-hpc-MI2,1hx3,1h,0,3,0,30
singularity-hpc-MI2,2hx10+10,2h,0,8,0,80
singularity-hpc-MI2,2hx10+10,2h,0,7,0,70
singularity-hpc-MI2,2hx10+10,2h,0,7,0,70
singularity-hpc-MI2,2hx10+10,2h,0,8,0,80
singularity-hpc-MI2,2hx10+10,2h,0,7,0,70
singularity-hpc-MI2,2hx10+10,2h,0,3,0,30
singularity-hpc-MI2,2hx10+10,2h,0,7,0,70
singularity-hpc-MI2,2hx10+10,2h,0,5,0,50
singularity-hpc-MI2,2hx10+10,2h,0,18,0,180
singularity-hpc-MI2,2hx10+10,2h,0,1,0,10
singularity-hpc-MI2,2hx20+20,2h,0,5,0,50
singularity-hpc-MI2,2hx20+20,2h,0,5,0,50
singularity-hpc-MI2,2hx20+20,2h,0,4,0,40
singularity-hpc-MI2,2hx20+20,2h,0,4,0,40
singularity-hpc-MI2,2hx20+20,2h,0,4,0,40
singularity-hpc-MI2,2hx20+20,2h,0,6,0,60
singularity-hpc-MI2,2hx20+20,2h,0,5,0,50
singularity-hpc-MI2,2hx20+20,2h,0,6,0,60
singularity-hpc-MI2,2hx20+20,2h,0,5,0,50
singularity-hpc-MI2,2hx20+20,2h,0,5,0,50
singularity-hpc-MI2,2hx20+20,2h,0,5,0,50
singularity-hpc-MI2,2hx20+20,2h,0,5,0,50
singularity-hpc-MI2,2hx20+20,2h,0,7,0,70
singularity-hpc-MI2,2hx20+20,2h,0,5,0,50
singularity-hpc-MI2,2hx20+20,2h,0,7,0,70
singularity-hpc-MI2,2hx20+20,2h,0,4,0,40
singularity-hpc-MI2,2hx20+20,2h,0,8,0,80
singularity-hpc-MI2,2hx20+20,2h,0,8,0,80
singularity-hpc-MI2,2hx20+20,2h,0,0,0,0
singularity-hpc-MI2,2hx20+20,2h,0,0,0,0
singularity-hpc-MI2,2hx3,2h,0,3,0,30
singularity-hpc-MI2,2hx3,2h,0,2,0,20
singularity-hpc-MI2,2hx3,2h,0,0,0,0
singularity-hpc-MI2,2hx5+5,2h,0,5,0,50
singularity-hpc-MI2,2hx5+5,2h,0,9,0,90
singularity-hpc-MI2,2hx5+5,2h,0,9,0,90
singularity-hpc-MI2,2hx5+5,2h,0,7,0,70
singularity-hpc-MI2,2hx5+5,2h,0,4,0,40
singularity-hpc-MI2,4hx3,4h,0,1,0,10
singularity-hpc-MI2,4hx3,4h,0,0,0,0
singularity-hpc-MI2,4hx3,4h,0,1,0,10
singularity-hpc-MI2,all-1h-2h-4h,1h,0,4,0,40
singularity-hpc-MI2,all-1h-2h-4h,1h,0,3,0,30
singularity-hpc-MI2,all-1h-2h-4h,1h,0,4,0,40
singularity-hpc-MI2,all-1h-2h-4h,2h,0,5,0,50
singularity-hpc-MI2,all-1h-2h-4h,2h,0,9,0,90
singularity-hpc-MI2,all-1h-2h-4h,2h,0,8,0,80
singularity-hpc-MI2,all-1h-2h-4h,4h,0,4,0,40
singularity-hpc-MI2,all-1h-2h-4h,4h,0,21,0,210
singularity-hpc-MI2,all-1h-2h-4h,4h,0,0,0,0
