environment-infrastructure-test,subtype,duration,cycle,round,exec,score
singularity-hpc-TB3,1hx3,1h,0,1,47,57
singularity-hpc-TB3,1hx3,1h,0,1,45,55
singularity-hpc-TB3,1hx3,1h,0,1,44,54
singularity-hpc-TB3,2hx10+10,2h,0,1,12,22
singularity-hpc-TB3,2hx10+10,2h,0,1,12,22
singularity-hpc-TB3,2hx10+10,2h,0,1,12,22
singularity-hpc-TB3,2hx10+10,2h,0,1,11,21
singularity-hpc-TB3,2hx10+10,2h,0,1,13,23
singularity-hpc-TB3,2hx10+10,2h,0,1,6,16
singularity-hpc-TB3,2hx10+10,2h,0,1,10,20
singularity-hpc-TB3,2hx10+10,2h,0,1,13,23
singularity-hpc-TB3,2hx10+10,2h,0,1,81,91
singularity-hpc-TB3,2hx10+10,2h,0,1,83,93
singularity-hpc-TB3,2hx20+20,2h,0,1,18,28
singularity-hpc-TB3,2hx20+20,2h,0,1,16,26
singularity-hpc-TB3,2hx20+20,2h,0,1,15,25
singularity-hpc-TB3,2hx20+20,2h,0,1,15,25
singularity-hpc-TB3,2hx20+20,2h,0,1,15,25
singularity-hpc-TB3,2hx20+20,2h,0,1,14,24
singularity-hpc-TB3,2hx20+20,2h,0,1,12,22
singularity-hpc-TB3,2hx20+20,2h,0,1,11,21
singularity-hpc-TB3,2hx20+20,2h,0,1,11,21
singularity-hpc-TB3,2hx20+20,2h,0,1,12,22
singularity-hpc-TB3,2hx20+20,2h,0,1,10,20
singularity-hpc-TB3,2hx20+20,2h,0,1,11,21
singularity-hpc-TB3,2hx20+20,2h,0,1,11,21
singularity-hpc-TB3,2hx20+20,2h,0,1,11,21
singularity-hpc-TB3,2hx20+20,2h,0,1,19,29
singularity-hpc-TB3,2hx20+20,2h,0,1,18,28
singularity-hpc-TB3,2hx20+20,2h,0,1,19,29
singularity-hpc-TB3,2hx20+20,2h,0,1,18,28
singularity-hpc-TB3,2hx20+20,2h,0,1,19,29
singularity-hpc-TB3,2hx20+20,2h,0,1,19,29
singularity-hpc-TB3,2hx3,2h,0,1,79,89
singularity-hpc-TB3,2hx3,2h,0,1,91,101
singularity-hpc-TB3,2hx3,2h,0,1,89,99
singularity-hpc-TB3,2hx5+5,2h,0,1,32,42
singularity-hpc-TB3,2hx5+5,2h,0,1,34,44
singularity-hpc-TB3,2hx5+5,2h,0,1,3,13
singularity-hpc-TB3,2hx5+5,2h,0,1,32,42
singularity-hpc-TB3,2hx5+5,2h,0,1,32,42
singularity-hpc-TB3,4hx3,4h,0,1,106,116
singularity-hpc-TB3,4hx3,4h,0,1,182,192
singularity-hpc-TB3,4hx3,4h,0,1,181,191
singularity-hpc-TB3,all-1h-2h-4h,1h,0,1,4,14
singularity-hpc-TB3,all-1h-2h-4h,1h,0,1,6,16
singularity-hpc-TB3,all-1h-2h-4h,1h,0,1,4,14
singularity-hpc-TB3,all-1h-2h-4h,2h,0,1,15,25
singularity-hpc-TB3,all-1h-2h-4h,2h,0,1,13,23
singularity-hpc-TB3,all-1h-2h-4h,2h,0,1,15,25
singularity-hpc-TB3,all-1h-2h-4h,4h,0,1,49,59
singularity-hpc-TB3,all-1h-2h-4h,4h,0,1,62,72
singularity-hpc-TB3,all-1h-2h-4h,4h,0,1,235,245
